scientificName,Birdtree_tiplabel
Aburria aburri,Aburria_aburri
Pipile cujubi,Pipile_cujubi
Pipile cumanensis,Pipile_cumanensis
Pipile jacutinga,Pipile_jacutinga
Pipile pipile,Pipile_pipile
Accipiter bicolor,Accipiter_bicolor
Accipiter collaris,Accipiter_collaris
Accipiter cooperii,Accipiter_cooperii
Accipiter poliogaster,Accipiter_poliogaster
Accipiter striatus,Accipiter_striatus
Accipiter superciliosus,Accipiter_superciliosus
Acridotheres cristatellus,Acridotheres_cristatellus
Acrobatornis fonsecai,Acrobatornis_fonsecai
Acropternis orthonyx,Acropternis_orthonyx
Actitis macularius,Actitis_macularius
Adelomyia melanogenys,Adelomyia_melanogenys
Aegolius harrisii,Aegolius_harrisii
Aeronautes andecolus,Aeronautes_andecolus
Aeronautes montivagus,Aeronautes_montivagus
Agamia agami,Agamia_agami
Agelaioides badius,Agelaioides_badius
Agelaioides fringillarius,Agelaioides_badius
Oreopsar bolivianus,Oreopsar_bolivianus
Agelaius phoeniceus,Agelaius_phoeniceus
Agelasticus cyanopus,Agelasticus_cyanopus
Agelasticus thilius,Agelasticus_thilius
Agelasticus xanthophthalmus,Agelasticus_xanthophthalmus
Aglaeactis aliciae,Aglaeactis_aliciae
Aglaeactis castelnaudii,Aglaeactis_castelnaudii
Aglaeactis cupripennis,Aglaeactis_cupripennis
Aglaeactis pamela,Aglaeactis_pamela
Aglaiocercus berlepschi,Aglaiocercus_berlepschi
Aglaiocercus coelestis,Aglaiocercus_coelestis
Aglaiocercus kingii,Aglaiocercus_kingi
Heliangelus zusii,Aglaiocercus_kingi
Agriornis albicauda,Agriornis_albicauda
Agriornis lividus,Agriornis_lividus
Agriornis micropterus,Agriornis_micropterus
Agriornis montanus,Agriornis_montanus
Agriornis murinus,Agriornis_murinus
Alectrurus risora,Alectrurus_risora
Alectrurus tricolor,Alectrurus_tricolor
Alopochelidon fucata,Alopochelidon_fucata
Amaurolimnas concolor,Amaurolimnas_concolor
Amaurospiza carrizalensis,Amaurospiza_carrizalensis
Amaurospiza concolor,Amaurospiza_concolor
Amaurospiza moesta,Amaurospiza_moesta
Amazilia tzacatl,Amazilia_tzacatl
Amazilis amazilia,Amazilia_amazilia
Amazona aestiva,Amazona_aestiva
Amazona amazonica,Amazona_amazonica
Amazona autumnalis,Amazona_autumnalis
Amazona barbadensis,Amazona_barbadensis
Amazona brasiliensis,Amazona_brasiliensis
Amazona dufresniana,Amazona_dufresniana
Amazona farinosa,Amazona_farinosa
Amazona festiva,Amazona_festiva
Amazona kawalli,Amazona_kawalli
Amazona mercenarius,Amazona_mercenaria
Amazona ochrocephala,Amazona_ochrocephala
Amazona pretrei,Amazona_pretrei
Amazona rhodocorytha,Amazona_rhodocorytha
Amazona tucumana,Amazona_tucumana
Amazona vinacea,Amazona_vinacea
Alipiopsitta xanthops,Alipiopsitta_xanthops
Amazonetta brasiliensis,Amazonetta_brasiliensis
Amblycercus holosericeus,Amblycercus_holosericeus
Amblyramphus holosericeus,Amblyramphus_holosericeus
Ammodramus aurifrons,Ammodramus_aurifrons
Ammodramus humeralis,Ammodramus_humeralis
Ammodramus savannarum,Ammodramus_savannarum
Ampelioides tschudii,Ampelioides_tschudii
Ampelion rubrocristatus,Ampelion_rubrocristatus
Ampelion rufaxilla,Ampelion_rufaxilla
Anabacerthia amaurotis,Anabacerthia_amaurotis
Anabacerthia striaticollis,Anabacerthia_striaticollis
Anabacerthia variegaticeps,Anabacerthia_variegaticeps
Anabazenops dorsalis,Anabazenops_dorsalis
Anabazenops fuscus,Anabazenops_fuscus
Uromyias agilis,Anairetes_agilis
Uromyias agraphia,Anairetes_agraphia
Anairetes alpinus,Anairetes_alpinus
Anairetes fernandezianus,Anairetes_fernandezianus
Anairetes flavirostris,Anairetes_flavirostris
Anairetes nigrocristatus,Anairetes_nigrocristatus
Anairetes parulus,Anairetes_parulus
Anairetes reguloides,Anairetes_reguloides
Anas acuta,Anas_acuta
Mareca americana,Anas_americana
Anas bahamensis,Anas_bahamensis
Spatula clypeata,Anas_clypeata
Anas crecca,Anas_crecca
Spatula cyanoptera,Anas_cyanoptera
Spatula discors,Anas_discors
Anas andium,Anas_flavirostris
Anas flavirostris,Anas_flavirostris
Anas georgica,Anas_georgica
Mareca penelope,Anas_penelope
Spatula platalea,Anas_platalea
Spatula puna,Anas_puna
Mareca sibilatrix,Anas_sibilatrix
Spatula versicolor,Anas_versicolor
Ancistrops strigilatus,Ancistrops_strigilatus
Andigena cucullata,Andigena_cucullata
Andigena hypoglauca,Andigena_hypoglauca
Andigena laminirostris,Andigena_laminirostris
Andigena nigrirostris,Andigena_nigrirostris
