Taxon	Birdtree_tiplabel	TaxCategory	DryDiagonal	Caatinga	Cerrado	Chaco	Endemic	IUCN	Comments
Rhea americana	Rhea_americana	SPECIES	x	x	x	x			
Rhea americana americana		SUBSPECIES	x	x	x				
Rhea americana araneipes		SUBSPECIES	x		x	x			
Tinamus tao	Tinamus_tao	SPECIES	x		x				Marginal
Tinamus tao tao		SUBSPECIES	x						
Tinamus major	Tinamus_major	SPECIES	x		x	x			Marginal
Tinamus major olivascens		SUBSPECIES	x						
Crypturellus cinereus	Crypturellus_cinereus	SPECIES	x		x				
Crypturellus soui	Crypturellus_soui	SPECIES	x		x				
Crypturellus soui albigularis		SUBSPECIES	x		x				
Crypturellus undulatus	Crypturellus_undulatus	SPECIES	x	x	x	x			
Crypturellus undulatus vermiculatus		SUBSPECIES	x	x	x				
Crypturellus undulatus vermiculatus		SUBSPECIES	x			x			
Crypturellus zabele	Crypturellus_noctivagus	SPECIES	x	x	x			NT	"Now, zabele (CBRO)"
Crypturellus strigulosus	Crypturellus_strigulosus	SPECIES	x		x				Marginal
Crypturellus parvirostris	Crypturellus_parvirostris	SPECIES	x	x	x	x			marginal in Chaco!
Crypturellus tataupa	Crypturellus_tataupa	SPECIES	x	x	x	x			
Crypturellus obsoletus	Crypturellus_obsoletus	SPECIES	x	x	x				"GSC comment...isnt it marginal? its wet forest species, at least in southern range.  I do not have it as being in Caatinga"
Crypturellus tataupa lepidotus		SUBSPECIES	x	x					
Crypturellus tataupa tataupa		SUBSPECIES	x		x	x			
Rhynchotus rufescens	Rhynchotus_rufescens	SPECIES	x	x	x	x			
Rhynchotus rufescens catingae		SUBSPECIES	x	x	x				
Rhynchotus rufescens rufescens		SUBSPECIES	x	x	x				
Rhynchotus rufescens pallescens		SUBSPECIES	x		x	x			
Rhynchotus maculicollis	Rhynchotus_maculicollis	SPECIES	x			x			
Nothura boraquira	Nothura_boraquira	SPECIES	x	x	x			 	
Nothura minor	Nothura_minor	SPECIES	x		x		CE	VU	
Nothura maculosa	Nothura_maculosa	SPECIES	x	x	x	x			
Nothura maculosa cearensis		SUBSPECIES	x	x					
